road_id,segment_id,road_name,from_street,to_street,jurisdiction,latitude,longitude,road_length_miles,lanes,surface_type,functional_class,pci,condition_date,traffic_level,adt,age_years,freeze_thaw,recommended_treatment,treatment_cost_per_lane_mile,data_status,data_source,data_updated_at
LEO-ROAD-1318,LEO-1318-33800453801016538010261,Nash Dr,,,Leoni Township,42.20835872530902,-84.25491233021687,0.105778,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1319,LEO-1319-33813463802006138020064,El Cajon Ln,,,Leoni Township,42.20729309363746,-84.27838651312584,0.225839,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1320,LEO-1320-17735023801030738010168,Bellrose Dr,,,Leoni Township,42.20589575896013,-84.2523726719475,0.166895,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1321,LEO-1321-17735013801031638010167,Gaylord Dr,,,Leoni Township,42.205834411374255,-84.25355963000334,0.172324,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1322,LEO-1322-33817403801030738010316,Jennings Dr,,,Leoni Township,42.20589575896013,-84.2523726719475,0.063659,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1323,LEO-1323-33817403801031638010318,Jennings Dr,,,Leoni Township,42.205834411374255,-84.25355963000334,0.08344,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1324,LEO-1324-33800453801026138010318,Nash Dr,,,Leoni Township,42.206832941463496,-84.25511454171907,0.06765,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1325,LEO-1325-33817403801031838010320,Jennings Dr,,,Leoni Township,42.20585385085272,-84.25518611606125,0.09898,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1326,LEO-1326-17734093801032038010261,Manton Dr,,,Leoni Township,42.20587435769965,-84.25711555339451,0.147947,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1327,LEO-1327-33817403801032038018187,Jennings Dr,,,Leoni Township,42.20587435769965,-84.25711555339451,0.042897,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1328,LEO-1328-33817403801818738010321,Jennings Dr,,,Leoni Township,42.2058709155378,-84.25795131336754,0.025521,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1329,LEO-1329-33800453801031838010358,Nash Dr,,,Leoni Township,42.20585385085272,-84.25518611606125,0.025671,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1330,LEO-1330-9012033802171738020061,Napoleon Rd,,,Leoni Township,42.20504657567594,-84.27836500756288,0.154997,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1331,LEO-1331-33816903802171738021718,Jerrys Dr,,,Leoni Township,42.20504657567594,-84.27836500756288,0.125455,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1332,LEO-1332-9159023801042238009989,S Portage Rd,,,Leoni Township,42.20469671077105,-84.26590432101834,0.484828,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
LEO-ROAD-1333,LEO-1333-9012033802006238021717,Napoleon Rd,,,Leoni Township,42.20371966956181,-84.27833809588432,0.091557,2,Asphalt,Local,65,2026-08-16,Medium,1000,10,Moderate,Crack Seal,1,provisional,Michigan GIS Open Data + Paventra rehearsal assumptions,2026-08-16
